2026 TASTING EVENTS SUMMARY,,,,,
MONTH  OF TASTING ,# Attended Tasting,# Won Deals,"# Pending Decisions
(leads not yet lost )",Tasting → Booking %,DATE LAST CHECKED 
January,52,21,0,40.38%,"April 18, 2026"
Feb,22,9,4,40.91%,"April 18,2026"
March,27,10,11,37.04%,"April 18, 2026"
April,23,9,14,39.13%,"April 20,2026"
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,
,,,,#DIV/0!,