,PREP TIME,HEAVY PREP.,#1,#2,#3,,#4,TOTAL,CookNAME,DONE,NOTE
Name of cook ,,,,,,,,,,,
,,,,,,,,,,,
• Chicken Salad sandwiches on cheese bread,,,,,,,,,,,
• Authentic Brazilian Cheese Bread (Pão de Queijo),,,,,,,,,,,
• Quinoa & Chickpea Salad in mini cups,,,,,,,,,,,
• Coxinha,,,,,,,,,,,
• Beef & Yuca Croquettes,,,,,,,,,,,
• Corn & Cheese Croquettes,,,,,,,,,,,
• Garlic shrimp,,,,,,,,,,,
• Fried Polenta (corn),,,,,,,,,,,
• Dadinhos de Tapioca with Jelly,,,,,,,,,,,
• Beef Mini Turnovers,,,,,,,,,,,
• Cheese Mini Turnovers,,,,,,,,,,,
• Chicken Mini Turnovers,,,,,,,,,,,
• Cheese and Crackers Platter,,,,,,,,,,,
• Fruit Platter,,,,,,,,,,,
• Flan (Caramel Custard),,,,,,,,,,,
• Passion Fruit Mousse,,,,,,,,,,,
• Quinoa Spinach Salad,,,,,,,,,,,
• Potato Salad,,,,,,,,,,,
• Pasta Salad,,,,,,,,,,,
• Mango & Mint Salad,,,,,,,,,,,
• Vinaigrette Salad (Vinagrette),,,,,,,,,,,
• Brazilian Tropical Corn Salad,,,,,,,,,,,
• Beans,,,,,,,,,,,
• Garlic Mashed Potatoes,,,,,,,,,,,
• Collard Greens,,,,,,,,,,,
• Piamontes Rice (Brazilian Risotto),,,,,,,,,,,
• Tropeiro Beans,,,,,,,,,,,
• Mac & Cheese,,,,,,,,,,,
• Fried Yuca,,,,,,,,,,,
• Sweet Plantains,,,,,,,,,,,
chimichurri,,,,,,,,,,,
Grilled zuchini & squash,,,,,,,,,,,
Total,8hrs worth of prep ,,,,,,,,,,
Name of cook ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,,,,,,,,
Name of cook ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,,,,,,,,